LongName,Wage_euro,OVA
Pablo Ceppelini,36000,71
Felix Wiedwald,4000,71
Tae Hwan Kim,6000,71
Antonin Bobichon,13000,71
Andreas Linde,4000,71
Corentin Jean,21000,71
Alex Pritchard,18000,71
Marvin Zeegelaar,12000,71
Massimo Luongo,12000,71
Pedro Manuel Mineiro Mendes,7000,71
Mohamed Fares,18000,71
Rômulo Roberto Calsede Caiado,17000,71
Tanguy Kouassi,10000,71
Carlos Alberto Carvalho Silva Jr.,4000,71
Dominic Iorfa,12000,71
Kyogo Furuhashi,7000,71
Romario Benzar,7000,71
Niko Gießelmann,18000,71
Aatif Chahechouhe,10000,71
Ilya Kutepov,28000,71
Franco Di Santo,14000,71
Jonathan Cabral,9000,71
Ronald Matarrita,5000,71
Maximiliano Romero,9000,71
Juan José Nieto Zarzoso,7000,71
Denis Odoi,47000,71
Janusz Gol,5000,71
Marcel Sobottka,16000,71
Joel Obi,3000,71
Jonathan Mensah,6000,71
Bruno Martella,20000,71
Fabio Depaoli,11000,71
Cristian Lucchetti,4000,71
Shogo Taniguchi,8000,71
Ahmad Benali,9000,71
Kamil Jóźwiak,16000,71
Gideon Jung,9000,71
Alexis Canelo,16000,71
Sven van Beek,8000,71
Soner Aydoğdu,21000,71
Joe Williams,21000,71
Nicolás Fernández,13000,71
Jelle Vossen,11000,71
Rob Schoofs,10000,71
Nicușor Bancu,7000,71
Ismael Tajouri-Shradi,6000,71
Elvis Rexhbeçaj,22000,71
Anthony Weber,6000,71
Otar Kiteishvili,12000,71
Marcel Schuhen,10000,71
Matías Melluso,9000,71
Marco Calderoni,20000,71
Mattia Destro,13000,71
Slobodan Rajković,25000,71
André Filipe Coelho Pereira,8000,71
Johan Larsson,4000,71
Seung Dae Kim,9000,71
Vladimir Hernández,4000,71
Josh Cullen,12000,71
Benoît Poulain,8000,71
Oliver Sorg,8000,71
Young Gwon Kim,8000,71
Japhet Tanganga,29000,71
Dino Hotić,8000,71
Brown Ideye,17000,71
Hatem Abd Elhamed,29000,71
Elias Cobbaut,11000,71
Maximiliano Olivera,28000,71
Nikolay Rasskazov,24000,71
Jin Su Kim,22000,71
Alberto Cerri,19000,71
Pablo Insua Blanco,14000,71
Marcelo Cirino da Silva,10000,71
Álejandro Gallar Falguero,8000,71
Olivier Boscagli,9000,71
Ataru Esaka,8000,71
Fredrik Andre Bjørkan,3000,71
Yoane Wissa,16000,71
Adrian Grbic,18000,71
Xavier Torres Buigues,6000,71
Osvaldo Martínez,6000,71
Ludovic Baal,11000,71
Cristian Penilla,6000,71
Edigar Junio Teixeira Lima,10000,71
Jorge Villafaña,5000,71
Mert Müldür,13000,71
Leandro Desábato,6000,71
Christian Clemens,18000,71
Tudor Băluță,21000,71
Luca Rossettini,15000,71
Gaëtan Belaud,6000,71
Miguel Barbieri,13000,71
Cyrus Christie,47000,71
Kevin Wimmer,17000,71
Stipe Perica,12000,71
Jairo Ralph Resende dos Santos,7000,71
Ricardo Lopes Pereira,10000,71
Gil Bastião Dias,24000,71
Pierre-Yves Hamel,20000,71
Per Karlsson,6000,71
Damir Kreilach,6000,71
Luiz Fernando da Silva Monte,11000,71
Macario André Louro Padilha,7000,71
Alberto Guitián Ceballos,7000,71
Robert Žulj,13000,71
Kévin Zohi,16000,71
Onur Kaya,10000,71
Sanjin Prcić,18000,71
Raphael William Paneira Rochedo,13000,71
Fabian Holland,13000,71
Reinier Jesus Carvalho,30000,71
Gabriel Iancu,8000,71
Luis Reyes,22000,71
Vítor Tormena de Farias,8000,71
Youness Mokhtar,6000,71
Brecht Dejaegere,15000,71
Emrah Başsan,10000,71
Felipe Avenatti,12000,71
Adrián Guto Negrão Bastos,13000,71
Gabriel Fuentes,2000,71
Gideon Mensah,11000,71
Jaïro Riedewald,24000,71
Prince-Désir Gouano,5000,71
Taras Romanczuk,7000,71
Luis Claudinei Peixoto Álvares,21000,71
Ahmed Hassan,1000,71
Diogo Filipe Pinto Leite,6000,71
Wesley Lautoa,9000,71
Ocimar Almeida Júnior,6000,71
Jorge Pietro Carvalho Porfírio,11000,71
Bashkim Kadrii,21000,71
Ethan Horvath,11000,71
Koki Anzai,5000,71
Ryan Gravenberch,4000,71
Jan-Arie van der Heijden,7000,71
Mimoun Mahi,12000,71
Georges Mandjeck,7000,71
Rafael Carrascal,2000,71
Alex Alessandro Freitas Conceição,10000,71
Pontus Wernbloom,3000,71
Zarek Valentin,6000,71
Denis Vavro,24000,71
Philipp Kühn,7000,71
Awer Mabil,17000,71
Mathieu Coutadeur,5000,71
Mark-Anthony Kaye,6000,71
Marlon Rodrigues Xavier,15000,71
Noni Madueke,4000,71
Kevin Long,29000,71
Samir Caetano de Souza Santos,10000,71
Antonino Barillà,4000,71
Bart Nieuwkoop,7000,71
Facundo Pellistri,19000,71
Yassine Benzia,10000,71
Samuel Piette,5000,71
Jonathan Gradit,22000,71
Hany Mukhtar,6000,71
João Felipe Schmidt Urbano,5000,71
Costel Pantilimon,12000,71
Gianluca Lapadula,13000,71
Mateus Pasinato,7000,71
Floyd Ayité,12000,71
Gōtoku Sakai,7000,71
José Ángel Pozo la Rosa,5000,71
Wesley Fofana,20000,71
Noah Okafor,13000,71
Dong Won Ji,19000,71
Mevlüt Erdinç,11000,71
Michael Morrison,9000,71
Hosam Aiesh,4000,71
Erick Aguirre,9000,71
Smail Prevljak,9000,71
Randy Nteka,6000,71
Holger Badstuber,14000,71
Jack Hunt,25000,71
Germán Lanaro,8000,71
Patrick Twumasi,17000,71
Paul Baysse,18000,71
Álvaro José Jiménez Guerrero,6000,71
Alexander Büttner,6000,71
Luca Caldirola,11000,71
Pol Mikel Lirola Kosok,25000,71
César Fuentes,6000,71
Omar Gonzalez,5000,71
Anthony Losilla,11000,71
Jack Byrne,3000,71
Moussa Konaté,5000,71
Diego Ângelo de Oliveira,11000,71
Bruno Uvini Bortolança,22000,71
Guillaume Gillet,7000,71
Jon Ander Garrido Moracia,16000,71
Anderson Julio,10000,71
Elson Ferreira de Souza,3000,71
Paulao Paulo Junqueiras Couto,15000,71
Arnór Sigurðsson,21000,71
Tendayi Darikwa,29000,71
Gustavo Rafael Outomouro Tófoli,16000,71
Ola John,6000,71
Orestis Kiomourtzoglou,5000,71
Daniel Martins Guimarães,6000,71
Ebenezer Ofori,6000,71
Sebastiano Luperto,26000,71
Jan Gyamerah,9000,71
Gianni Bruno,11000,71
Billel Omrani,11000,71
Amir Abrashi,14000,71
Clayton Fábio Fildeiras Cachoeira,13000,71
Anthony D'Alberto,8000,71
Bruno Ricardo Valdez Wilson,8000,71
Marko Pajač,19000,71
Bengali-Fodé Koita,11000,71
Andrew Hughes,18000,71
Manuel Reina Rodríguez,3000,71
Irvin Cardona,12000,71
Vincent Sasso,12000,71
Lucas Höler,16000,71
Lucas Eduardo dos Santos João,11000,71
Jean Butez,10000,71
Viðar Örn Kjartansson,4000,71
Majeed Ashimeru,15000,71
Pasquale Schiattarella,12000,71
Juan Manuel García,10000,71
Frederik Sørensen,16000,71
Renaud Emond,18000,71
Hakan Özmert,9000,71
Maurício de Carvalho António,8000,71
Olcay Şahan,10000,71
James McClean,20000,71
Famara Diedhiou,29000,71
Martin Olsson,2000,71
Yassine Benrahou,11000,71
Bakaye Dibassy,5000,71
Michaël Cuisance,27000,71
Mitchell Donald,10000,71
Will Vaulks,17000,71
Cheick Traoré,21000,71
Vital Nsimba,5000,71
Juan Álvarez,9000,71
Joe Aribo,27000,71
Nick Powell,18000,71
Darnell Furlong,35000,71
Carleto Adilson Costinha Caldeira,16000,71
Stefan Marinović,3000,71
Bakery Jatta,10000,71
Fousseni Diabaté,17000,71
Gabriel Paletta,3000,71
Mark Gillespie,19000,71
Marc Stendera,6000,71
Adama Traoré,10000,71
Denis Linsmayer,6000,71
Tsukasa Morishima,8000,71
Mohamed Fouzair,14000,71
Ewerton José Almeida Santos,11000,71
Alejandro Chumacero,7000,71
Raïs M'Bolhi,14000,71
Yuri de Souza Fonseca,6000,71
Hanchao Yu,11000,71
Wes Foderingham,17000,71
Kevin Bua,9000,71
Ricardo Jorge Vaz Tê,7000,71
Mohamed Simakan,12000,71
Jeremy Dudziak,9000,71
Jesús Jiménez Núñez,5000,71
Torgeir Børven,19000,71
Rafael Garcia Tonioli Defendi,3000,71
Arturo Mina,10000,71
Carl Jenkinson,29000,71
Charles Marcelo da Silva,6000,71
Javier García,8000,71
Simone Iacoponi,18000,71
Bit Garam Yoon,6000,71
Rick van Drongelen,7000,71
Brad Guzan,3000,71
Leke James,6000,71
Thiago Claudnei Almeida Reis,16000,71
Hamed Junior Traorè,14000,71
Boško Šutalo,19000,71
Federico Marchetti,5000,71
Stole Dimitrievski,4000,71
Jérémy Doku,11000,71
Konstantin Kuchaev,22000,71
Jordan Sierra,23000,71
Dmitriy Zhivoglyadov,25000,71
Luisinho Lúcio Conradi Andrade,14000,71
Haris Medunjanin,4000,71
Lukáš Haraslín,17000,71
Sekou Koita,14000,71
Osama Rashid,5000,71
Mohammed Al Owais,18000,71
Peter Žulj,14000,71
Sebastian Jung,8000,71
Hanno Behrens,9000,71
Ante Palaversa,43000,71
Ernesto Torregrossa,25000,71
Andoni Gorosabel Espinosa,13000,71
Anthony Ujah,21000,71
Yuya Kubo,6000,71
Dillon Phillips,5000,71
Walter Elias Silvieiro Borges,11000,71
Oscar Jiménez,17000,71
Paolo Bartolomei,13000,71
Prince Oniangué,6000,71
Musashi Suzuki,9000,71
Josué Durval da Feira Cunha,11000,71
John Boye,11000,71
Harry Arter,27000,71
Ivan Santini,15000,71
Mauricio Pinilla,2000,71
Romell Quioto,6000,71
Eduardo Antônio Machado Teixeira,10000,71
Leart Paqarada,11000,71
Fredrik Jensen,15000,71
Kasim Adams Nuhu,18000,71
Julio Barroso,4000,71
Aleksandr Zhirov,6000,71
Matt Clarke,25000,71
Clifford Aboagye,13000,71
Yusuf Erdoğan,10000,71
Cristopher Toselli,6000,71
Isaac Kiese Thelin,16000,71
Jake Cooper,9000,71
Gil Alcalá,6000,71
Tomáš Kalas,24000,71
Maximilian Wittek,10000,71
Mauricio Cuero,10000,71
Hugo Rodríguez,15000,71
Aitor Sanz Martín,5000,71
Sebastian Schonlau,12000,71
Simon Hedlund,15000,71
Adrián Ortolá Vaño,6000,71
Bryan Acosta,6000,71
Aden Flint,17000,71
Benjamin Tetteh,10000,71
Alexandre Reis Pinto,4000,71
Mohamed Kanno,20000,71
Marcel Risse,17000,71
Pedro Miguel Lopes Pereira,7000,71
Martin Fraisl,5000,71
Jonathan Bottinelli,7000,71
Przemysław Frankowski,6000,71
Nicolai Boilesen,13000,71
Isaac Success,12000,71
Koray Günter,15000,71
Emre Taşdemir,28000,71
Sergio Floccari,18000,71
Ailton Nuno Cardenhas Macedo,8000,71
Andrey Eschenko,20000,71
Fernando Manuel Ferreira Fonseca,5000,71
Yacine Adli,11000,71
Milan Škoda,11000,71
Jean-Armel Kana-Biyik,9000,71
Fabrício Santos de Jesus,10000,71
Wiliam Carlos Santoso Sampaio,9000,71
Francesco Vicari,18000,71
Ragnar Sigurðsson,12000,71
Vincent Koziello,15000,71
Julián Álvarez,9000,71
Steven Moreira,5000,71
Ager Aketxe Barrutia,7000,71
Fernando Monetti,10000,71
Kirill Nababkin,23000,71
Søren Rieks,6000,71
Mariusz Stępiński,23000,71
Kento Misao,6000,71
Michał Pazdan,15000,71
Caleb Ekuban,21000,71
Andre Wisdom,17000,71
Silas Wamangituka,12000,71
Aleksandar Sedlar,7000,71
Aldo Cruz,11000,71
Damjan Đoković,10000,71
Juan Cruz Álvaro Armada,17000,71
Mame Thiam,38000,71
Fco. Javier Hidalgo Gómez,14000,71
Julian Pollersbeck,23000,71
In Seong Kim,6000,71
Jordy de Wijs,6000,71
Molla Wagué,15000,71
Emiliano Méndez,7000,71
Baldomero Perlaza,4000,71
Fredrik Gulbrandsen,24000,71
Duane Holmes,18000,71
Isaac Carcelén Valencia,16000,71
Eddie Nketiah,35000,71
Adrián González Morales,7000,71
Paul Seguin,7000,71
Se Jong Ju,8000,71
Wagner Mauro Orsi Vasquez,10000,71
Jalil Elías,7000,71
Marco Stiepermann,9000,71
Jay Fulton,17000,71
Gustavo Blanco Leschuk,13000,71
Emiliano Papa,5000,71
Luciano Pocrnjic,4000,71
Jonatan Cristaldo,13000,71
Julian Schieber,18000,71
Alberto Tomás Botía Rabasco,15000,71
Luis Mendoza,9000,71
Django Warmerdam,8000,71
Steven Davis,23000,71
Arouna Koné,10000,71
Pablo Chavarría,8000,71
Nathan Baker,25000,71
Alberto Paleari,8000,71
Ao Tanaka,6000,71
Gleison Bremer Silva Nascimento,20000,71
Terence Kongolo,17000,71
Jeremie Frimpong,15000,71
Fernando Márquez,10000,71
Fabián Viáfara,3000,71
Kian Hansen,9000,71
João António Antunes Carvalho,26000,71
Julian Börner,13000,71
Jeremy Ebobisse,6000,71
David Costas Cordal,13000,71
Wil Trapp,5000,71
Octavio Rivero,18000,71
Rayan Aït Nouri,7000,71
Kevin McDonald,47000,71
Gonçalo Filipe Oliveira Silva,5000,71
Amilton Minervino da Silva,12000,71
João Pedro Gomes Camacho,9000,71
Ervin Zukanović,9000,71
Simone Romagnoli,3000,71
Rubén Castro Martín,5000,71
Joao Plata,16000,71
Erik Berg,6000,71
Timon Wellenreuther,9000,71
Arturo Calabresi,15000,71
Edson Gérson Torres Guerra,7000,71
Leonardo Duarte da Silva,17000,71
Dax McCarty,5000,71
Tomás Belmonte,10000,71
Linpeng Zhang,14000,71
Javier Reina,3000,71
Simen Juklerød,13000,71
David Mota Teixeira Carmo,6000,71
Lucas Domingues Piazón,48000,71
Sead Hakšabanovič,4000,71
Jonathan Sandoval,9000,71
Francisco Gámez López,7000,71
Jairo Samperio Bustara,7000,71
Diego Farías da Silva,15000,71
Joachim Van Damme,10000,71
Brayan Cortés,4000,71
Alexander Walke,8000,71
Bart Ramselaar,9000,71
Driss Fettouhi,23000,71
Daniel Calvo Sanromán,12000,71
Eugenio Lamanna,3000,71
Kadeem Harris,15000,71
Kasper Kusk,12000,71
Federico Mattiello,12000,71
Álvaro Lemos Collazo,7000,71
Javier Toledo,10000,71
Ângelo Pelegrinelli Neto,13000,71
Dagoberto Josué Pinho Parrela,13000,71
Florian Jungwirth,5000,71
Maxime Dupé,4000,71
Fabiano Leismann,15000,71
Akihiro Hayashi,6000,71
Marnon Busch,14000,71
Christoph Zimmermann,8000,71
Gibrán Lajud,12000,71
Felipe Rodríguez,8000,71
Ádám Szalai,18000,71
Marcus Bettinelli,40000,71
Ante Ćorić,5000,71
Aníbal Godoy,5000,71
Ben Gibson,28000,71
Quentin Bernard,5000,71
Kellyn Acosta,5000,71
Oghenekaro Etebo,16000,71
Mirko Pigliacelli,6000,71
Jacopo Dezi,20000,71
Raphael Framberger,13000,71
Dalei Wang,9000,71
Pape Cheikh Diop,29000,71
Khéphren Thuram,10000,71
Andreas Bjelland,12000,71
Victorien Angban,11000,71
Óscar Trejo,6000,71
Kyle Naughton,17000,71
Conor Townsend,41000,71
Alex Wilkinson,5000,71
Derrick Luckassen,9000,71
Håkon Evjen,6000,71
Federico Peluso,13000,71
Eduardo Henrique da Silva,8000,71
Barry Douglas,47000,71
Kevin Molino,6000,71
Rafael Jiménez Jarque,16000,71
Cristian Manea,8000,71
Ulises Rivas,14000,71
José Corpas Serna,7000,71
Daniel Heuer Fernandes,7000,71
Rhyan Grant,7000,71
Christoph Monschein,14000,71
Kalindi Alves de Souza,7000,71
Alessandro Murgia,18000,71
Morgan Gibbs-White,31000,71
Dawid Kownacki,17000,71
Hicham Faik,11000,71
Emiliano Insúa,5000,71
Abdul-Aziz Tetteh,9000,71
Isaiah Brown,39000,71
Juan Insaurralde,4000,71
Jin Ho Sin,6000,71
Kaveh Rezaei,18000,71
Fredrik Aursnes,5000,71
Billy Gilmour,25000,71
Rafael Baca,35000,71
Fernando Belluschi,9000,71
Souleymane Doukara,21000,71
Yannick Cahuzac,16000,71
Benno Schmitz,15000,71
Jörg Siebenhandl,10000,71
Alexander Tettey,8000,71
Martin Männel,5000,71
Dimitri Bisoli,22000,71
Jacob Une Larsson,6000,71
Masaaki Higashiguchi,7000,71
Eduardo Flávio Fonseira Meire,7000,71
Reziuan Mirzov,31000,71
Xuepeng Li,14000,71
Jean-Luc Dompé,9000,71
Michal Frydrych,4000,71
Pablo González,6000,71
Florent Hadergjonaj,9000,71
Greg Taylor,24000,71
Rafael Mir Vicente,40000,71
Mahlon Romeo,8000,71
Raphael Holzhauser,9000,71
Hiroshi Kiyotake,6000,71
Sei Muroya,15000,71
Andreas Weimann,30000,71
Marc Schnatterer,16000,71
Florin Tănase,11000,71
Patrick William Sá De Oliveira,6000,71
Casper De Norre,9000,71
Asier Riesgo Unamuno,4000,71
Jefferson Intriago,21000,71
Ryan Woods,17000,71
Mauro Fernández,27000,71
Obbi Oularé,10000,71
Chris Mavinga,6000,71
Tim Parker,5000,71
Felipe de Sousa Silva,5000,71
Pietro Terracciano,22000,71
Nicolás Orsini,13000,71
Anice Badri,26000,71
Alex Martin Frandeira Álvares,6000,71
Milton Valenzuela,3000,70
Guðmundur Þórarinsson,5000,70
Tobias Pereira Figueiredo,24000,70
Martin Bjørnbak,5000,70
Ayrton Preciado,14000,70
Santiago Comesaña Veiga,5000,70
Rémy Riou,4000,70
Lucas Alves de Araujo,8000,70
Blás Riveros,9000,70
Jaka Bijol,10000,70
Aboubakar Kamara,47000,70
Ryan Gauld,5000,70
Mathieu Michel,4000,70
Carlos Akapo Martínez,14000,70
Leandro Marcos Pereira,8000,70
Emilio Zelaya,13000,70
Alexandre Mendy,6000,70
Filip Kurto,2000,70
Aslak Fonn Witry,4000,70
Miguel Angel Torrén,7000,70
Cristian Tarragona,11000,70
Declan John,14000,70
Jonathan Schunke,7000,70
Vítor Martín Angulho Fancini,5000,70
Edimilson Fernandes,13000,70
Pieter Gerkens,11000,70
Enzo Lombardo,5000,70
Ángel Sepúlveda,8000,70
Brian Fernández,8000,70
Noam Baumann,3000,70
Daniel Schmidt,7000,70
Juan Manuel Marrero Monzón,3000,70
Sergi Canós Tenés,22000,70
Jorge Ruiz Ojeda,8000,70
Dever Orgill,11000,70
Pedro Alcalá Guirado,14000,70
Ivan Zlobin,4000,70
Katsuya Nagato,5000,70
Matti Steinmann,3000,70
Zvonimir Kožulj,9000,70
Gabriel Airton de Souza,6000,70
George Friend,10000,70
Allison Alan Sireo Milazar,8000,70
Christopher Martins,10000,70
Moritz Heyer,8000,70
Carlos Guzmán,7000,70
André Renato Soares Martins,8000,70
Fabio Pereyra,6000,70
Pāvels Šteinbors,5000,70
Kamil Çörekçi,16000,70
Josh Murphy,15000,70
Takahiro Kunimoto,6000,70
Federico Ceccherini,24000,70
Aridai Cabrera Suárez,6000,70
Magnus Kofod Andersen,6000,70
Unai García Lugea,15000,70
Abdou Harroui,6000,70
Adam Clayton,10000,70
Petar Filipović,14000,70
Miguel Ángel Garrido Cifuentes,11000,70
Omar Richards,6000,70
Håvard Nielsen,7000,70
Jordan Lefort,12000,70
Juan Miranda González,39000,70
Christopher Lenz,14000,70
Gonzalo Castellani,2000,70
Thomas Pledl,15000,70
Yakou Méïté,9000,70
Nathan Byrne,15000,70
Ygor Nogueira de Paula,6000,70
Ruud Boffin,8000,70
Patrick Mortensen,9000,70
Scott Carson,12000,70
Hiram Mier,22000,70
John Ruddy,27000,70
Paul Anton,5000,70
Florian Hartherz,14000,70
Erwin Mulder,5000,70
Kevin Bonifazi,8000,70
José Antonio Caro Díaz,8000,70
Maarten Paes,6000,70
Marco Friedl,12000,70
David Lazar,6000,70
Güray Vural,9000,70
Ruben Gabrielsen,5000,70
Marco Pérez,13000,70
Jorge Rodríguez,8000,70
Wout Faes,11000,70
Modou Barrow,7000,70
Luca Siligardi,18000,70
Edwin Velasco,2000,70
Luka Đorđević,25000,70
Alejandro Díez Salomón,5000,70
Germán Mera,2000,70
Antonio Di Gaudio,16000,70
Lourival Adnan Diniz Prazeres,5000,70
Jon Bautista Orgilles,14000,70
Jairo Ralph Farnias Almeida,7000,70
Esteban Burgos,14000,70
Yoann Salmier,5000,70
Ionuț Panțîru,8000,70
Tobias Pachonik,5000,70
José Antonio Ferrández Pomares,11000,70
Callum Paterson,12000,70
Josh Sims,23000,70
Edoardo Goldaniga,15000,70
Ben Watson,5000,70
Rico Strieder,6000,70
Adriano Well. Bastos Oliveira,7000,70
Alexander Gorgon,5000,70
Ben Whiteman,6000,70
Matías de los Santos,3000,70
Leôncio Roger Lobeiro Cunha,16000,70
Marco Sangalli Fuentes,7000,70
Deian Sorescu,4000,70
Roman Procházka,4000,70
Massimo Coda,21000,70
Raúl Fdez-Cavada Mateos,5000,70
Andrea Seculin,2000,70
Oliver Hüsing,12000,70
Faïz Selemani,9000,70
Riku Matsuda,5000,70
Tomáš Chorý,9000,70
Sean McDermott,2000,70
Issiaga Sylla,4000,70
Luca Paganini,19000,70
Yuma Suzuki,8000,70
Ramón Folch Frigola,10000,70
Philipp Klement,13000,70
Marcel Ritzmaier,9000,70
Cebio Soukou,15000,70
Hüseyin Türkmen,13000,70
Renato Fred Baumer Trigo,6000,70
Mikael Lustig,5000,70
Jozabed Sánchez Ruiz,13000,70
Lukas Görtler,9000,70
Recep Niyaz,13000,70
Eli Dasa,10000,70
Birama Touré,5000,70
Jean-Victor Makengo,9000,70
Engin Bekdemir,9000,70
Michael Frey,32000,70
Risto Radunović,7000,70
Bassem Srarfi,8000,70
Philipp Riese,6000,70
Ángelo Sagal,14000,70
Tom Lees,11000,70
Mikael Ishak,7000,70
Daniel Clayton Branco Julião,11000,70
Tiago Nathan Pombeira Gesser,13000,70
Rúben Micael F. da Ressureição,7000,70
Jed Steer,21000,70
Roger Espinoza,5000,70
Nilton Varela Lopes,2000,70
Valentin Gheorghe,6000,70
Ernesto Gomez Muñoz,6000,70
Cédric Brunner,12000,70
Ermedin Demirović,13000,70
Matt Besler,5000,70
Jordi Amat Maas,7000,70
Liam Moore,8000,70
Fabien Farnolle,4000,70
Sultan Al Ghannam,18000,70
Jonathan Herrera,13000,70
Shinzo Koroki,8000,70
Jorge Correa,7000,70
Renato Peter Mestres Silveira,20000,70
Alberto Benito Correo,5000,70
Hamza Mendyl,12000,70
Joseph Paintsil,9000,70
Igor Alberto Rinck de Camargo,7000,70
Adam Davies,12000,70
Hotaru Yamaguchi,6000,70
Thiago dos Santos,5000,70
Oscar Ustari,8000,70
Jesper Karlström,5000,70
Vegard Forren,3000,70
Adrian Šemper,2000,70
Jaime Frederico Cavaco Dorta,5000,70
Dael Fry,8000,70
Kook Young Han,5000,70
Julián Fernández,8000,70
Filippo Romagna,13000,70
Jannik Huth,9000,70
Jack Harper,14000,70
Muhamed Bešić,36000,70
Kalifa Coulibaly,16000,70
Ibrahim Sissoko,5000,70
Suleiman Abdullahi,15000,70
Andreas Beck,7000,70
Aytaç Kara,9000,70
Paweł Wszołek,8000,70
Tom Pettersson,5000,70
Lewis Baker,37000,70
Ryan Hollingshead,5000,70
Geoff Cameron,6000,70
Reinhold Yabo,14000,70
Andy Najar,5000,70
Shūichi Gonda,4000,70
Srđan Grahovac,15000,70
Néstor Breitenbruch,7000,70
Samuel Thomas Carvalho Melo,12000,70
Borja Lasso De La Vega,6000,70
Andrés Tello,9000,70
Nicolas Haas,2000,70
Fabrício dos Santos Messias,8000,70
Benik Afobe,17000,70
Yoshifumi Kashiwa,7000,70
Gaëtan Bussmann,6000,70
Seung Gi Lee,7000,70
Craig Forsyth,15000,70
Benjamin Uphoff,10000,70
Ariel Rojas,7000,70
Alexander Callens,5000,70
Alexander Bernabei,5000,70
Ignasi Miquel i Pons,13000,70
Florian Pick,12000,70
Kwang Suk Kim,3000,70
Marco Rojas,6000,70
Brayan Riascos,7000,70
Srđan Babić,6000,70
Luis Fuentes,18000,70
Young Sun Yun,5000,70
Rubén Farfán,3000,70
Miao Tang,9000,70
Iñigo Vicente Elorduy,12000,70
Marcin Kamiński,13000,70
Paul Gallagher,12000,70
Johan Djourou,7000,70
Gary Dicker,5000,70
Mamadou Fofana,9000,70
Diego Palacios,3000,70
Cristian Battocchio,11000,70
Kosta Barbarouses,7000,70
Federico Viviani,18000,70
Diego Godoy,3000,70
Casper Højer,7000,70
Pedro Miguel Gaspar Amaral,5000,70
Taiwo Awoniyi,37000,70
Charles De Ketelaere,9000,70
Joo Ho Park,5000,70
Yann Bodiger,14000,70
Vinicius Lúcio Trieiro Lobato,12000,70
Tunay Torun,9000,70
Efthymios Koulouris,5000,70
Lorenzo Dickmann,15000,70
Alberto Soro Álvarez,10000,70
Florian Ayé,18000,70
Francisco Calvo,5000,70
Michael Duffy,2000,70
Luis Manuel García,9000,70
Gustavo Toledo,7000,70
Jailson Pietro Oliva Chiamulera,17000,70
Jair Pereira,7000,70
Jordi Mboula Queralt,4000,70
Sander van de Streek,9000,70
Jorge Sáenz de Miera,14000,70
Florian Miguel,10000,70
Kevin Broll,3000,70
Yassine Meriah,8000,70
Guido Mainero,10000,70
Karlo Letica,8000,70
Isaac Mbenza,14000,70
Julian Quiñones,20000,70
Marcelo Herrera,8000,70
Santiago García,2000,70
Jessy Deminguet,5000,70
Benedikt Saller,8000,70
Júnior Moreno,5000,70
Santiago Mosquera,5000,70
Paulo Bernard Alves Coelho,7000,70
Saad Bguir,8000,70
José Luis Fernández,7000,70
Zheng Zheng,10000,70
Siem de Jong,5000,70
Rod Fanni,3000,70
Diogo Meireles Costa,4000,70
Alexis Castro,11000,70
Sam Morsy,10000,70
Douglas Willian da Silva Souza,7000,70
Nill De Pauw,12000,70
Nikolai Laursen,4000,70
Vito Mannone,18000,70
Shenchao Wang,7000,70
Alexander Grünwald,11000,70
Joe Corona,5000,70
Lorenzo Venuti,22000,70
Jonathan Iglesias,4000,70
Eduardo Estevão Neto Heck,9000,70
Graham Zusi,5000,70
Rafał Kurzawa,4000,70
Nana Ampomah,13000,70
Santiago Gentiletti,6000,70
Branimir Hrgota,7000,70
Sereso Geoffroy Gonzaroua Dié,11000,70
Andrés Andrade,4000,70
Mauro Pittón,9000,70
Franco Troyansky,8000,70
Latif Blessing,5000,70
Hakan Arslan,10000,70
Sergio Tejera Rodríguez,6000,70
Jake Bidwell,15000,70
Ulrik Saltnes,4000,70
Tom Ince,18000,70
Hyun Jun Suk,6000,70
Michael de Leeuw,5000,70
Kyohei Noborizato,7000,70
Román Martínez,7000,70
Daniel Ramírez Fernández,7000,70
Aleksandar Paločević,5000,70
Min Woo Kim,3000,70
Brian Mansilla,10000,70
Francisco José Villalba Rodrigo,9000,70
Jorge de Frutos Sebastián,11000,70
Lyle Taylor,28000,70
Harlee Dean,10000,70
Lee Tomlin,16000,70
Pablo Barrera,10000,70
Felipe Martins,5000,70
Javier Correa,9000,70
Miguel Fraga,6000,70
Jack Robinson,17000,70
Steve Mounié,11000,70
Rúnar Alex Rúnarsson,25000,70
Yannick Stark,6000,70
Marvin Knoll,10000,70
Emiliano Amor,9000,70
Heltinho Melo Chaves,8000,70
Tarik Elyounoussi,3000,70
Iñigo Ruiz de Galarreta,6000,70
Keven Schlotterbeck,11000,70
Young Joon Choi,7000,70
Alex Vigo,5000,70
Michael Novak,10000,70
Francisco Ortega,6000,70
Scott Arfield,27000,70
Justin Morrow,5000,70
Luís Leal dos Anjos,13000,70
Lincoln Oliveira dos Santos,3000,70
Carlos Cuesta,6000,70
Luan Vágner Sendeiro Zanon,14000,70
Amine Gouiri,15000,70
Enrique Bologna,5000,70
Jesús Manuel Santana Abreu,5000,70
Mustapha Yatabaré,11000,70
Antonio Briseño,22000,70
José Manuel Arnáiz Díaz,8000,70
Amahl Pellegrino,3000,70
Sebastián Sáez,2000,70
Bozhidar Kraev,13000,70
Breno Evandro Bemposta Dimas,6000,70
